Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-19,Washington Capitals,Capitals,Blue Jackets,1.029,26.27,20.97,55.61,1.97,1.0,66.28,6.91,9.08,43.23
2013-10-19,Tampa Bay Lightning,Lightning,Bruins,0.635,8.66,14.82,36.87,0.0,5.35,0.00,3.47,4.49,43.59
2013-10-19,Pittsburgh Penguins,Penguins,Canucks,1.0,13.15,13.69,49.0,1.85,3.12,37.16,3.58,4.31,45.38
2013-10-19,San Jose Sharks,Sharks,Flames,1.021,21.44,8.87,70.75,1.93,1.01,65.57,9.97,2.01,83.25
2013-10-19,New York Islanders,Islanders,Hurricanes,0.847,16.8,26.15,39.11,0.0,3.15,0.00,4.32,6.59,39.59
2013-10-19,Chicago Blackhawks,Blackhawks,Maple Leafs,1.062,20.03,14.95,57.27,1.89,0.0,100.00,6.99,3.12,69.14
2013-10-19,Ottawa Senators,Senators,Oilers,0.917,19.58,12.29,61.44,0.95,2.13,30.84,7.13,4.52,61.17
2013-10-19,Montreal Canadiens,Canadiens,Predators,1.003,16.96,17.0,49.94,0.92,1.06,46.65,6.44,7.56,46.0
2013-10-19,New Jersey Devils,Devils,Rangers,1.175,14.27,8.55,62.53,2.93,0.0,100.00,6.89,0.97,87.71
2013-10-19,Arizona Coyotes,Coyotes,Red Wings,1.118,16.45,19.74,45.46,3.81,2.13,64.09,9.11,14.59,38.42
2013-10-19,Los Angeles Kings,Kings,Stars,1.015,28.13,19.35,59.24,2.86,2.07,58.00,15.23,8.26,64.83
2013-10-19,Florida Panthers,Panthers,Wild,1.0,8.34,11.87,41.25,0.0,0.0,0,3.64,1.12,76.49
2013-10-20,Columbus Blue Jackets,Blue Jackets,Canucks,1.11,16.6,11.11,59.91,1.89,0.0,100.00,9.6,3.13,75.39
2013-10-20,Winnipeg Jets,Jets,Predators,0.927,16.75,18.5,47.52,0.92,2.13,30.15,11.3,5.56,67.04
2013-10-20,Anaheim Ducks,Ducks,Stars,1.02,24.39,23.35,51.09,2.93,2.07,58.59,8.61,5.97,59.02
2013-10-21,Pittsburgh Penguins,Penguins,Avalanche,0.91,16.62,9.72,63.1,0.0,1.06,0.00,8.15,3.35,70.87
2013-10-21,Los Angeles Kings,Kings,Flames,1.0,21.89,19.87,52.42,0.0,0.0,0,8.41,7.46,53.01
2013-10-21,Detroit Red Wings,Red Wings,Sharks,1.0,16.18,12.58,56.25,0.0,0.0,0,6.54,5.33,55.13
2013-10-22,Florida Panthers,Panthers,Blackhawks,1.066,16.35,21.65,43.03,1.87,1.08,63.53,3.69,8.69,29.79
2013-10-22,New York Islanders,Islanders,Canucks,0.893,34.01,32.04,51.49,0.94,4.09,18.73,17.09,20.68,45.24
2013-10-22,Winnipeg Jets,Jets,Capitals,0.947,21.7,12.64,63.19,2.79,3.12,47.18,12.19,8.46,59.04
2013-10-22,Columbus Blue Jackets,Blue Jackets,Devils,1.107,12.87,15.53,45.31,1.93,0.0,100.00,4.76,7.43,39.05
2013-10-22,Toronto Maple Leafs,Maple Leafs,Ducks,1.025,15.44,21.91,41.34,2.86,2.13,57.25,3.99,7.34,35.19
2013-10-22,Arizona Coyotes,Coyotes,Flames,0.962,23.89,15.97,59.93,1.93,2.03,48.82,7.88,8.06,49.45
2013-10-22,Montreal Canadiens,Canadiens,Oilers,0.908,20.97,19.78,51.45,0.99,3.1,24.17,15.17,11.78,56.3
2013-10-22,Minnesota Wild,Wild,Predators,1.04,24.27,12.42,66.14,0.94,0.0,100.00,8.54,4.07,67.7
2013-10-23,Buffalo Sabres,Sabres,Bruins,0.932,7.96,13.14,37.72,0.95,3.21,22.86,2.57,7.73,24.98
2013-10-23,Detroit Red Wings,Red Wings,Senators,0.85,17.3,23.82,42.07,0.0,4.27,0.00,5.16,6.97,42.52
2013-10-24,Tampa Bay Lightning,Lightning,Blackhawks,0.975,13.01,15.08,46.31,1.87,4.05,31.56,5.35,7.12,42.91
2013-10-24,New Jersey Devils,Devils,Canucks,0.921,13.37,9.12,59.46,0.94,2.02,31.81,5.67,4.01,58.57
2013-10-24,Edmonton Oilers,Oilers,Capitals,0.874,21.49,19.69,52.19,0.92,4.26,17.70,8.89,7.75,53.41
2013-10-24,Los Angeles Kings,Kings,Coyotes,1.02,18.74,10.71,63.63,3.96,3.02,56.73,10.14,4.93,67.26
2013-10-24,Montreal Canadiens,Canadiens,Ducks,1.078,13.07,20.97,38.39,1.93,1.0,65.80,6.8,12.79,34.7
2013-10-24,Dallas Stars,Stars,Flames,1.123,27.13,15.85,63.13,4.86,1.01,82.77,10.84,8.04,57.43
2013-10-24,Minnesota Wild,Wild,Hurricanes,1.056,17.2,7.92,68.47,0.99,0.0,100.00,3.99,4.0,49.95
2013-10-24,Nashville Predators,Predators,Jets,0.966,22.52,18.55,54.83,0.94,2.02,31.81,8.6,9.27,48.11
2013-10-24,Philadelphia Flyers,Flyers,Rangers,1.017,12.42,16.4,43.1,0.94,1.01,48.26,4.67,6.14,43.21
2013-10-24,Boston Bruins,Bruins,Sharks,1.112,13.37,29.3,31.34,1.89,1.01,65.11,4.67,8.46,35.59
2013-10-25,St Louis Blues,Blues,Canucks,0.909,17.65,10.65,62.35,0.92,2.13,30.22,4.56,3.25,58.39
2013-10-25,Ottawa Senators,Senators,Ducks,0.911,13.59,23.2,36.94,0.0,2.13,0.00,6.34,7.86,44.63
2013-10-25,Colorado Avalanche,Avalanche,Hurricanes,1.009,24.99,20.84,54.53,2.92,2.02,59.13,12.82,7.09,64.38
2013-10-25,Pittsburgh Penguins,Penguins,Islanders,0.954,21.67,18.45,54.01,2.81,3.08,47.72,9.67,6.2,60.92
2013-10-25,Columbus Blue Jackets,Blue Jackets,Maple Leafs,0.957,22.64,10.1,69.14,1.93,2.03,48.78,10.67,4.0,72.75
2013-10-25,Florida Panthers,Panthers,Sabres,0.903,37.73,13.63,73.46,0.94,2.07,31.33,9.56,3.2,74.94
2013-10-26,Nashville Predators,Predators,Blues,0.852,21.11,28.09,42.91,0.0,4.26,0.00,6.05,5.61,51.89
2013-10-26,Calgary Flames,Flames,Capitals,1.081,15.12,12.69,54.36,4.9,2.03,70.70,7.02,2.98,70.21
2013-10-26,Boston Bruins,Bruins,Devils,1.076,16.26,17.58,48.06,1.98,0.0,100.00,5.01,2.01,71.43
2013-10-26,New York Islanders,Islanders,Flyers,0.938,21.23,38.95,35.27,0.95,3.23,22.76,4.44,10.07,30.6
2013-10-26,Dallas Stars,Stars,Jets,1.032,24.96,32.25,43.63,0.92,0.0,100.00,6.39,13.04,32.88
2013-10-26,Arizona Coyotes,Coyotes,Oilers,0.998,8.61,19.66,30.46,2.86,4.14,40.83,3.81,8.31,31.45
2013-10-26,Toronto Maple Leafs,Maple Leafs,Penguins,1.046,9.67,28.04,25.64,0.94,0.0,100.00,4.86,10.47,31.72
2013-10-26,Detroit Red Wings,Red Wings,Rangers,1.016,13.69,18.08,43.1,0.94,1.01,48.26,3.86,12.16,24.12
2013-10-26,Tampa Bay Lightning,Lightning,Sabres,0.926,17.23,12.37,58.2,1.87,2.07,47.45,5.62,3.13,64.2
2013-10-26,Montreal Canadiens,Canadiens,Sharks,0.968,9.07,25.11,26.54,0.0,1.08,0.00,4.57,13.24,25.66
2013-10-26,Chicago Blackhawks,Blackhawks,Wild,0.854,21.27,14.21,59.95,1.87,4.25,30.54,9.63,5.56,63.38
2013-10-27,Columbus Blue Jackets,Blue Jackets,Ducks,0.948,19.59,14.52,57.43,1.87,3.12,37.41,5.45,7.33,42.65
2013-10-27,Colorado Avalanche,Avalanche,Jets,0.993,24.51,26.4,48.15,2.81,2.07,57.61,10.19,8.51,54.49
2013-10-27,Florida Panthers,Panthers,Lightning,1.036,16.75,19.9,45.71,2.83,2.13,56.99,5.22,7.81,40.04
2013-10-27,Los Angeles Kings,Kings,Oilers,1.024,22.61,11.59,66.11,0.92,0.0,100.00,9.19,3.2,74.2
2013-10-27,Ottawa Senators,Senators,Sharks,0.87,14.1,18.99,42.61,0.95,4.26,18.26,3.48,5.55,38.53
2013-10-28,Minnesota Wild,Wild,Blackhawks,0.889,24.31,22.07,52.42,0.92,3.16,22.61,8.02,7.86,50.48
2013-10-28,New York Rangers,Rangers,Canadiens,0.943,19.64,14.9,56.86,0.0,1.08,0.00,10.07,6.55,60.61
2013-10-28,Vancouver Canucks,Canucks,Capitals,0.956,21.88,14.41,60.29,2.81,2.07,57.61,4.57,3.01,60.3
2013-10-28,Carolina Hurricanes,Hurricanes,Penguins,0.889,11.85,24.77,32.35,0.0,3.19,0.00,5.36,10.81,33.15
2013-10-28,Buffalo Sabres,Sabres,Stars,0.957,8.94,17.54,33.77,1.87,3.18,37.08,4.44,7.66,36.68
2013-10-29,Philadelphia Flyers,Flyers,Ducks,0.944,19.07,20.42,48.29,0.94,3.08,23.44,9.86,11.48,46.2
2013-10-29,St Louis Blues,Blues,Jets,1.077,9.62,23.01,29.48,1.89,0.0,100.00,1.87,8.52,17.99
2013-10-29,Arizona Coyotes,Coyotes,Kings,1.092,16.46,31.22,34.52,1.93,0.0,100.00,1.01,11.42,8.14
2013-10-29,New Jersey Devils,Devils,Lightning,1.058,14.75,7.99,64.88,0.99,0.0,100.00,4.86,5.06,48.99
2013-10-29,Edmonton Oilers,Oilers,Maple Leafs,0.834,29.35,28.45,50.78,0.0,4.26,0.00,6.64,12.52,34.65
2013-10-29,New York Islanders,Islanders,Rangers,1.042,18.63,11.54,61.75,1.87,1.06,63.87,3.69,5.33,40.91
2013-10-29,Chicago Blackhawks,Blackhawks,Senators,1.006,23.03,17.69,56.56,4.73,4.16,53.22,10.13,4.14,71.02
2013-10-29,Montreal Canadiens,Canadiens,Stars,1.063,17.87,12.98,57.92,1.93,1.01,65.57,6.86,8.13,45.74
2013-10-30,Pittsburgh Penguins,Penguins,Bruins,1.008,21.25,16.62,56.12,1.93,1.01,65.64,8.48,3.13,73.01
2013-10-30,Calgary Flames,Flames,Maple Leafs,0.966,26.91,19.91,57.48,1.9,2.13,47.15,12.54,11.07,53.11
2013-10-30,Vancouver Canucks,Canucks,Red Wings,0.967,18.96,27.67,40.66,0.94,2.07,31.33,8.43,9.72,46.45
2013-10-30,Los Angeles Kings,Kings,Sharks,0.985,12.93,10.77,54.55,1.85,2.11,46.65,5.35,3.25,62.22
2013-10-31,Boston Bruins,Bruins,Ducks,0.948,17.12,9.83,63.52,0.92,2.11,30.42,6.23,5.59,52.73
2013-10-31,Arizona Coyotes,Coyotes,Predators,1.075,14.53,28.04,34.13,2.79,3.21,46.53,4.39,14.34,23.42
2013-10-31,New York Rangers,Rangers,Sabres,1.025,33.88,23.63,58.92,0.99,0.0,100.00,17.56,14.92,54.06
2013-11-01,Dallas Stars,Stars,Avalanche,0.961,23.39,14.08,62.42,1.87,2.13,46.78,10.74,12.08,47.05
2013-11-01,Pittsburgh Penguins,Penguins,Blue Jackets,1.003,16.47,17.54,48.42,1.98,2.01,49.70,6.11,9.17,39.99
2013-11-01,Florida Panthers,Panthers,Blues,0.846,15.86,21.18,42.83,0.0,3.22,0.00,3.4,6.71,33.63
2013-11-01,Minnesota Wild,Wild,Canadiens,1.081,20.58,15.27,57.4,3.82,2.02,65.38,3.88,7.13,35.23
2013-11-01,Philadelphia Flyers,Flyers,Capitals,0.775,12.21,27.0,31.14,0.0,5.35,0.00,4.27,8.01,34.77
2013-11-01,Ottawa Senators,Senators,Islanders,1.096,21.15,33.8,38.49,3.86,3.04,55.99,9.41,14.53,39.31
2013-11-01,Carolina Hurricanes,Hurricanes,Lightning,0.887,23.55,35.05,40.19,0.0,3.18,0.00,10.5,14.49,42.01
2013-11-01,Calgary Flames,Flames,Red Wings,0.854,17.91,21.82,45.08,1.87,4.27,30.54,7.07,5.43,56.57
2013-11-02,Winnipeg Jets,Jets,Blackhawks,0.84,17.46,21.26,45.08,0.94,5.28,15.17,10.43,10.2,50.55
2013-11-02,Tampa Bay Lightning,Lightning,Blues,1.085,16.54,15.54,51.57,3.8,2.07,64.76,5.68,3.13,64.45
2013-11-02,New York Islanders,Islanders,Bruins,1.092,25.62,28.56,47.28,2.92,0.0,100.00,15.62,9.32,62.63
2013-11-02,Colorado Avalanche,Avalanche,Canadiens,1.111,17.61,19.4,47.58,2.88,0.0,100.00,8.54,10.37,45.14
2013-11-02,San Jose Sharks,Sharks,Coyotes,0.911,26.97,9.5,73.95,0.92,2.07,30.88,9.1,4.3,67.9
2013-11-02,Buffalo Sabres,Sabres,Ducks,0.929,14.54,26.08,35.8,1.83,6.32,22.48,7.07,10.94,39.28
