Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-20,Nashville Predators,Jets,Predators,1.073,18.5,16.75,52.48,2.13,0.92,69.85,5.56,11.3,32.96
2013-10-20,Dallas Stars,Ducks,Stars,0.98,23.35,24.39,48.91,2.07,2.93,41.41,5.97,8.61,40.98
2013-10-21,Colorado Avalanche,Penguins,Avalanche,1.09,9.72,16.62,36.9,1.06,0.0,100.00,3.35,8.15,29.13
2013-10-21,Calgary Flames,Kings,Flames,1.0,19.87,21.89,47.58,0.0,0.0,0,7.46,8.41,46.99
2013-10-21,San Jose Sharks,Red Wings,Sharks,1.0,12.58,16.18,43.75,0.0,0.0,0,5.33,6.54,44.87
2013-10-22,Chicago Blackhawks,Panthers,Blackhawks,0.934,21.65,16.35,56.97,1.08,1.87,36.47,8.69,3.69,70.21
2013-10-22,Vancouver Canucks,Islanders,Canucks,1.107,32.04,34.01,48.51,4.09,0.94,81.27,20.68,17.09,54.76
2013-10-22,Washington Capitals,Jets,Capitals,1.053,12.64,21.7,36.81,3.12,2.79,52.82,8.46,12.19,40.96
2013-10-22,New Jersey Devils,Blue Jackets,Devils,0.893,15.53,12.87,54.69,0.0,1.93,0.00,7.43,4.76,60.95
2013-10-22,Anaheim Ducks,Maple Leafs,Ducks,0.975,21.91,15.44,58.66,2.13,2.86,42.75,7.34,3.99,64.81
2013-10-22,Calgary Flames,Coyotes,Flames,1.038,15.97,23.89,40.07,2.03,1.93,51.18,8.06,7.88,50.55
2013-10-22,Edmonton Oilers,Canadiens,Oilers,1.092,19.78,20.97,48.55,3.1,0.99,75.83,11.78,15.17,43.7
2013-10-22,Nashville Predators,Wild,Predators,0.96,12.42,24.27,33.86,0.0,0.94,0.00,4.07,8.54,32.3
2013-10-23,Boston Bruins,Sabres,Bruins,1.068,13.14,7.96,62.28,3.21,0.95,77.14,7.73,2.57,75.02
2013-10-23,Ottawa Senators,Red Wings,Senators,1.15,23.82,17.3,57.93,4.27,0.0,100.00,6.97,5.16,57.48
2013-10-24,Chicago Blackhawks,Lightning,Blackhawks,1.025,15.08,13.01,53.69,4.05,1.87,68.44,7.12,5.35,57.09
2013-10-24,Vancouver Canucks,Devils,Canucks,1.079,9.12,13.37,40.54,2.02,0.94,68.19,4.01,5.67,41.43
2013-10-24,Washington Capitals,Oilers,Capitals,1.126,19.69,21.49,47.81,4.26,0.92,82.30,7.75,8.89,46.59
2013-10-24,Arizona Coyotes,Kings,Coyotes,0.98,10.71,18.74,36.37,3.02,3.96,43.27,4.93,10.14,32.74
2013-10-24,Anaheim Ducks,Canadiens,Ducks,0.922,20.97,13.07,61.61,1.0,1.93,34.20,12.79,6.8,65.3
2013-10-24,Calgary Flames,Stars,Flames,0.877,15.85,27.13,36.87,1.01,4.86,17.23,8.04,10.84,42.57
2013-10-24,Carolina Hurricanes,Wild,Hurricanes,0.944,7.92,17.2,31.53,0.0,0.99,0.00,4.0,3.99,50.05
2013-10-24,Winnipeg Jets,Predators,Jets,1.034,18.55,22.52,45.17,2.02,0.94,68.19,9.27,8.6,51.89
2013-10-24,New York Rangers,Flyers,Rangers,0.983,16.4,12.42,56.9,1.01,0.94,51.74,6.14,4.67,56.79
2013-10-24,San Jose Sharks,Bruins,Sharks,0.888,29.3,13.37,68.66,1.01,1.89,34.89,8.46,4.67,64.41
2013-10-25,Vancouver Canucks,Blues,Canucks,1.091,10.65,17.65,37.65,2.13,0.92,69.78,3.25,4.56,41.61
2013-10-25,Anaheim Ducks,Senators,Ducks,1.089,23.2,13.59,63.06,2.13,0.0,100.00,7.86,6.34,55.37
2013-10-25,Carolina Hurricanes,Avalanche,Hurricanes,0.991,20.84,24.99,45.47,2.02,2.92,40.87,7.09,12.82,35.62
2013-10-25,New York Islanders,Penguins,Islanders,1.046,18.45,21.67,45.99,3.08,2.81,52.28,6.2,9.67,39.08
2013-10-25,Toronto Maple Leafs,Blue Jackets,Maple Leafs,1.043,10.1,22.64,30.86,2.03,1.93,51.22,4.0,10.67,27.25
2013-10-25,Buffalo Sabres,Panthers,Sabres,1.097,13.63,37.73,26.54,2.07,0.94,68.67,3.2,9.56,25.06
